"","bcw_id","Genus","ACC","NIF_Group"
"1","BCW-201889","Enterobacter",4.73544973544974,"DSN"
"2","BCW-201891","unassigned",4.32330827067669,"DSN"
"3","BCW-200533","Rhodococcus",3.27725856697819,"DSN"
"4","BCW-200138","Lactococcus",3.25773195876289,"DSN"
"5","BCW-201036","Rahnella",3.23432343234323,"DSN"
"6","BCW-200163","Lactococcus",3.22463768115942,"DSN"
"7","BCW-200272","unassigned",3.22408963585434,"DSN"
"8","BCW-201013","Rahnella",3.15229885057471,"DSN"
"9","BCW-200121","Lactococcus",3.14285714285714,"DSN"
"10","BCW-200063","unassigned",3.10540540540541,"DSN"
"11","BCW-201238","Serratia",3.03764705882353,"DSN"
"12","BCW-200912","unassigned",3.01121076233184,"DSN"
"13","BCW-201186","Rahnella",2.99012345679012,"DSN"
"14","BCW-201257","Serratia",2.94305239179954,"DSN"
"15","BCW-200952","Pantoea",2.87948717948718,"DSN"
"16","BCW-200649","Rahnella",2.87665198237885,"DSN"
"17","BCW-201847","Enterobacter",2.81573033707865,"DSN"
"18","BCW-200565","Rahnella",2.80779220779221,"DSN"
"19","BCW-200815","Rahnella",2.78947368421053,"DSN"
"20","BCW-201839","Enterobacter",2.73364485981308,"DSN"
"21","BCW-201453","Lactococcus",2.72368421052632,"DSN"
"22","BCW-200726","Rahnella",2.70515970515971,"DSN"
"23","BCW-201726","Enterobacter",2.6940133037694,"DSN"
"24","BCW-201450","Hafnia",2.65807962529274,"DSN"
"25","BCW-201085","Serratia",2.65277777777778,"DSN"
"26","BCW-201051","Serratia",2.65199161425577,"DSN"
"27","BCW-200989","unassigned",2.64079822616408,"DSN"
"28","BCW-200036","Citrobacter",2.58560794044665,"DSN"
"29","BCW-201010","Rahnella",2.55656108597285,"DSN"
"30","BCW-200465","Agrobacterium",2.54077253218884,"DSN"
"31","BCW-201826","Pantoea",2.51639344262295,"DSN"
"32","BCW-200160","Lactococcus",2.51330798479088,"DSN"
"33","BCW-200328","Agrobacterium",2.51219512195122,"DSN"
"34","BCW-200041","Enterobacter",2.50625,"DSN"
"35","BCW-200883","Enterobacter",2.5,"DSN"
"36","BCW-200806","unassigned",2.48529411764706,"DSN"
"37","BCW-201812","Enterobacter",2.48502994011976,"DSN"
"38","BCW-201081","Pantoea",2.47087378640777,"DSN"
"39","BCW-201103","unassigned",2.46049661399549,"DSN"
"40","BCW-200067","Microbacterium",2.44827586206897,"DSN"
"41","BCW-201896","Curtobacterium",2.44747899159664,"DSN"
"42","BCW-201648","Rahnella",2.40683229813665,"DSN"
"43","BCW-201187","Rahnella",2.39598997493734,"DSN"
"44","BCW-201054","Serratia",2.39030023094688,"DSN"
"45","BCW-200544","Serratia",2.38771186440678,"DSN"
"46","BCW-201028","Rahnella",2.37417218543046,"DSN"
"47","BCW-200319","unassigned",2.37341772151899,"DSN"
"48","BCW-200152","unassigned",2.36490250696379,"DSN"
"49","BCW-200279","Enterobacter",2.3326359832636,"DSN"
"50","BCW-201995","Pantoea",2.32374100719424,"DSN"
"51","BCW-200268","unassigned",2.3046875,"DSN"
"52","BCW-201975","Enterobacter",2.30081300813008,"DSN"
"53","BCW-201885","Enterobacter",2.300796812749,"DSN"
"54","BCW-201662","Serratia",2.29398148148148,"DSN"
"55","BCW-200271","unassigned",2.2880658436214,"DSN"
"56","BCW-200641","unassigned",2.28731942215088,"DSN"
"57","BCW-200471","Pseudomonas",2.28600405679513,"DSN"
"58","BCW-201090","unassigned",2.28266033254157,"DSN"
