"","bcw_id","Genus","BNF","Group"
"1","BCW-200241","Lactococcus",4.2,"DSN"
"2","BCW-200175","Lactococcus",3.7,"DSN"
"3","BCW-200198","Lactococcus",3.4,"DSN"
"4","BCW-200138","Lactococcus",3.1,"DSN"
"5","BCW-200128","Lactococcus",3,"DSN"
"6","BCW-200174","Lactococcus",3,"DSN"
"7","BCW-200159","Lactococcus",2.9,"DSN"
"8","BCW-200163","Lactococcus",2.8,"DSN"
"9","BCW-200196","Lactococcus",2.8,"DSN"
"10","BCW-200121","Lactococcus",2.7,"DSN"
"11","BCW-200057","Microbacterium",2.4,"DSN"
"12","BCW-200051","Lactococcus",2.2,"DSN"
"13","BCW-201880","Enterobacter",2.2,"DSN"
"14","BCW-201895","Enterobacter",1.7,"DSN"
"15","BCW-200328","Agrobacterium",1.5,"DSN"
"16","BCW-200726","Rahnella",1.5,"DSN"
"17","BCW-200902","Agrobacterium",1.5,"DSN"
"18","BCW-201173","Escherichia",1.5,"DSN"
"19","BCW-201809","Serratia",1.5,"DSN"
"20","BCW-201889","Enterobacter",1.5,"DSN"
"21","BCW-201085","Serratia",1.4,"DSN"
"22","BCW-201236","Hafnia",1.4,"DSN"
"23","BCW-201866","Enterobacter",1.4,"DSN"
"24","BCW-201867","Pantoea",1.4,"DSN"
"25","BCW-201878","Enterobacter",1.4,"DSN"
"26","BCW-201882","Enterobacter",1.4,"DSN"
"27","BCW-201885","Enterobacter",1.4,"DSN"
"28","BCW-201917","Pantoea",1.4,"DSN"
"29","BCW-201933","Enterobacter",1.4,"DSN"
"30","BCW-200270","Lelliottia",1.3,"DSN"
"31","BCW-200279","Enterobacter",1.3,"DSN"
"32","BCW-200533","Rhodococcus",1.3,"DSN"
"33","BCW-200556","Lelliottia",1.3,"DSN"
"34","BCW-200596","Lelliottia",1.3,"DSN"
"35","BCW-200808","Rahnella",1.3,"DSN"
"36","BCW-200810","Rahnella",1.3,"DSN"
"37","BCW-201045","Lelliottia",1.3,"DSN"
"38","BCW-201083","Citrobacter",1.3,"DSN"
"39","BCW-201152","Citrobacter",1.3,"DSN"
"40","BCW-201153","Serratia",1.3,"DSN"
"41","BCW-201187","Rahnella",1.3,"DSN"
"42","BCW-201849","Enterobacter",1.3,"DSN"
"43","BCW-201874","Enterobacter",1.3,"DSN"
"44","BCW-201883","unassigned",1.3,"DSN"
