"","bcw_id","Genus","PO4","Group"
"1","BCW-200718","Rahnella",2051.12474433333,"DSN"
"2","BCW-200146","Rahnella",1767.71653533333,"DSN"
"3","BCW-200544","Serratia",1581.799591,"DSN"
"4","BCW-200157","Rahnella",1574.80314933333,"DSN"
"5","BCW-201826","Pantoea",1561.34969333333,"DSN"
"6","BCW-200986","Citrobacter",1503.067485,"DSN"
"7","BCW-200151","Rahnella",1493.43832033333,"DSN"
"8","BCW-201008","Rahnella",1458.07770966667,"DSN"
"9","BCW-200634","Lelliottia",1446.830266,"DSN"
"10","BCW-200319","Erwinia",1390.74598666667,"DSN"
"11","BCW-201827","Pantoea",1384.45807766667,"DSN"
"12","BCW-201865","Erwinia",1349.69325166667,"DSN"
"13","BCW-201867","Pantoea",1349.69325133333,"DSN"
"14","BCW-200219","Enterobacter",1339.895013,"DSN"
"15","BCW-201248","Rahnella",1309.53729933333,"DSN"
"16","BCW-200806","Rahnella",1277.09611466667,"DSN"
"17","BCW-200642","Rahnella",1275.05112466667,"DSN"
"18","BCW-201257","Serratia",1266.871166,"DSN"
"19","BCW-201236","Hafnia",1262.781186,"DSN"
"20","BCW-201848","Pantoea",1260.73619633333,"DSN"
"21","BCW-200121","Lactococcus",1257.21784766667,"DSN"
"22","BCW-200808","Rahnella",1222.90388566667,"DSN"
"23","BCW-201997","Pantoea",1220.77431553333,"DSN"
"24","BCW-201153","Serratia",1208.58895716667,"DSN"
"25","BCW-201083","Citrobacter",1194.27402866667,"DSN"
"26","BCW-200663","Agrobacterium",1182.058546,"DSN"
"27","BCW-201175","Rahnella",1178.9366054,"DSN"
"28","BCW-200104","Enterobacter",1173.22834633333,"DSN"
"29","BCW-200111","Citrobacter",1171.91601066667,"DSN"
"30","BCW-200724","Rahnella",1169.73415133333,"DSN"
"31","BCW-200471","Pseudomonas",1166.66666666667,"DSN"
"32","BCW-201883","unassigned",1154.396728,"DSN"
"33","BCW-201849","Enterobacter",1151.32924336667,"DSN"
"34","BCW-200596","Lelliottia",1142.126789,"DSN"
"35","BCW-200815","Rahnella",1139.05930466667,"DSN"
"36","BCW-200155","Rahnella",1125.984252,"DSN"
"37","BCW-200723","Rahnella",1125.766871,"DSN"
"38","BCW-200218","Enterobacter",1118.110236,"DSN"
"39","BCW-200163","Lactococcus",1098.42519666667,"DSN"
"40","BCW-201056","Hafnia",1097.13701436667,"DSN"
"41","BCW-200715","Rahnella",1096.11451966667,"DSN"
"42","BCW-201025","Rahnella",1095.09202466667,"DSN"
"43","BCW-201079","Serratia",1080.77709633333,"DSN"
"44","BCW-201014","Rahnella",1076.6871166,"DSN"
"45","BCW-201833","Pantoea",1067.48466276667,"DSN"
"46","BCW-200031","Citrobacter",1062.37218803333,"DSN"
"47","BCW-200107","Enterobacter",1057.74278226667,"DSN"
"48","BCW-201938","Enterobacter",1051.12474433333,"DSN"
"49","BCW-200539","Citrobacter",1049.07975466667,"DSN"
"50","BCW-201245","Rahnella",1049.07975466667,"DSN"
"51","BCW-201957","Enterobacter",1048.05726,"DSN"
"52","BCW-200725","Rahnella",1046.0122699,"DSN"
"53","BCW-200138","Lactococcus",1041.99475073333,"DSN"
"54","BCW-201982","Rahnella",1032.71983633333,"DSN"
"55","BCW-200810","Rahnella",1027.6073621,"DSN"
"56","BCW-201036","Rahnella",1025.56237233333,"DSN"
"57","BCW-200149","Rahnella",1023.6220473,"DSN"
"58","BCW-200327","Serratia",1023.41831906667,"DSN"
"59","BCW-201007","Rahnella",1022.47403216667,"DSN"
"60","BCW-201154","Citrobacter",1020.4498978,"DSN"
"61","BCW-200054","Enterobacter",1015.3374235,"DSN"
"62","BCW-201839","Enterobacter",1012.2699387,"DSN"
"63","BCW-200736","Rahnella",1006.13496936667,"DSN"
"64","BCW-201654","Rahnella",1003.5882911,"DSN"
"65","BCW-201090","unassigned",1002.0449899,"DSN"
"66","BCW-200547","Serratia",1002.0449899,"DSN"
"67","BCW-200012","Enterobacter",1002.0449898,"DSN"
"68","BCW-201995","Pantoea",1001.6997167,"DSN"
"69","BCW-201176","Rahnella",999.999999933333,"DSN"
"70","BCW-200902","Agrobacterium",998.977505133333,"DSN"
"71","BCW-200272","Rahnella",992.256845933333,"DSN"
"72","BCW-201917","Pantoea",990.797546166667,"DSN"
"73","BCW-201010","Rahnella",986.707566433333,"DSN"
"74","BCW-200188","Lactococcus",984.2519685,"DSN"
"75","BCW-200114","Serratia",981.627296566667,"DSN"
"76","BCW-201173","Escherichia",980.572597,"DSN"
"77","BCW-201861","Lactococcus",976.482617733333,"DSN"
"78","BCW-201903","Enterobacter",965.235173833333,"DSN"
