"","bcw_id","Genus","ACC","NIF_Group"
"1","BCW-200162","unassigned",3.69662921348315,"DSP"
"2","BCW-201441","Klebsiella",3.31315789473684,"DSP"
"3","BCW-200785","Pseudomonas",3.30924855491329,"DSP"
"4","BCW-201088","Rahnella",3.28051948051948,"DSP"
"5","BCW-200661","Klebsiella",3.25679012345679,"DSP"
"6","BCW-200800","Rahnella",3.256,"DSP"
"7","BCW-201620","Klebsiella",3.22697368421053,"DSP"
"8","BCW-201926","Raoultella",3.15945330296128,"DSP"
"9","BCW-200206","Enterobacter",3.13738738738739,"DSP"
"10","BCW-200488","unassigned",3.12420382165605,"DSP"
"11","BCW-200665","Klebsiella",3.08333333333333,"DSP"
"12","BCW-200951","unassigned",3.01092896174863,"DSP"
"13","BCW-200620","unassigned",2.99582463465553,"DSP"
"14","BCW-200161","unassigned",2.97101449275362,"DSP"
"15","BCW-200776","Klebsiella",2.94549763033175,"DSP"
"16","BCW-200235","unassigned",2.90119760479042,"DSP"
"17","BCW-200891","unassigned",2.89449541284404,"DSP"
"18","BCW-200199","unassigned",2.8879781420765,"DSP"
"19","BCW-201614","Klebsiella",2.88721804511278,"DSP"
"20","BCW-201267","unassigned",2.87598944591029,"DSP"
"21","BCW-200203","Raoultella",2.87257617728532,"DSP"
"22","BCW-200437","unassigned",2.8355795148248,"DSP"
"23","BCW-201162","Rahnella",2.79179810725552,"DSP"
"24","BCW-200882","unassigned",2.78961038961039,"DSP"
"25","BCW-200136","Klebsiella",2.78925619834711,"DSP"
"26","BCW-200738","unassigned",2.77777777777778,"DSP"
"27","BCW-200662","Klebsiella",2.7621247113164,"DSP"
"28","BCW-200555","unassigned",2.75763747454175,"DSP"
"29","BCW-200656","unassigned",2.74651162790698,"DSP"
"30","BCW-201808","unassigned",2.74259681093394,"DSP"
"31","BCW-200129","Klebsiella",2.73593073593074,"DSP"
"32","BCW-200446","unassigned",2.71820448877805,"DSP"
"33","BCW-200887","unassigned",2.70515970515971,"DSP"
"34","BCW-200137","Klebsiella",2.6990099009901,"DSP"
"35","BCW-200148","unassigned",2.68592964824121,"DSP"
"36","BCW-200892","unassigned",2.67866323907455,"DSP"
"37","BCW-200281","unassigned",2.67632850241546,"DSP"
"38","BCW-201078","Klebsiella",2.66842105263158,"DSP"
"39","BCW-200184","unassigned",2.64354066985646,"DSP"
"40","BCW-200317","Enterobacter",2.62727272727273,"DSP"
"41","BCW-201890","Raoultella",2.61240310077519,"DSP"
"42","BCW-200195","unassigned",2.6109785202864,"DSP"
"43","BCW-200651","Klebsiella",2.58823529411765,"DSP"
"44","BCW-200201","unassigned",2.58776595744681,"DSP"
"45","BCW-201107","Klebsiella",2.57920792079208,"DSP"
"46","BCW-200102","Enterobacter",2.57844990548204,"DSP"
"47","BCW-200438","Raoultella",2.57828810020877,"DSP"
"48","BCW-200117","unassigned",2.56709956709957,"DSP"
"49","BCW-200881","unassigned",2.56190476190476,"DSP"
"50","BCW-201615","Klebsiella",2.56018518518518,"DSP"
"51","BCW-200818","Rahnella",2.54149377593361,"DSP"
"52","BCW-200915","unassigned",2.53990610328638,"DSP"
"53","BCW-200177","Klebsiella",2.53861386138614,"DSP"
"54","BCW-200200","unassigned",2.53623188405797,"DSP"
"55","BCW-200926","unassigned",2.536,"DSP"
"56","BCW-200442","unassigned",2.53225806451613,"DSP"
"57","BCW-200517","unassigned",2.5260663507109,"DSP"
"58","BCW-200499","unassigned",2.52310924369748,"DSP"
"59","BCW-200444","unassigned",2.49763033175355,"DSP"
"60","BCW-200194","Kosakonia",2.48138957816377,"DSP"
"61","BCW-200855","unassigned",2.47209302325581,"DSP"
"62","BCW-201828","unassigned",2.47157894736842,"DSP"
"63","BCW-200525","unassigned",2.46813186813187,"DSP"
"64","BCW-200955","unassigned",2.46715328467153,"DSP"
"65","BCW-200049","Klebsiella",2.46608315098468,"DSP"
"66","BCW-200106","unassigned",2.46279069767442,"DSP"
"67","BCW-200801","Rahnella",2.46062052505967,"DSP"
"68","BCW-200847","unassigned",2.45890410958904,"DSP"
"69","BCW-200821","Rahnella",2.45277777777778,"DSP"
"70","BCW-200120","unassigned",2.44854368932039,"DSP"
"71","BCW-200171","unassigned",2.44656488549618,"DSP"
"72","BCW-200142","unassigned",2.42980561555076,"DSP"
"73","BCW-200909","unassigned",2.41346153846154,"DSP"
"74","BCW-201461","unassigned",2.41263157894737,"DSP"
"75","BCW-200141","Kosakonia",2.41013824884793,"DSP"
"76","BCW-200236","unassigned",2.40442655935614,"DSP"
"77","BCW-201721","Enterobacter",2.39543726235741,"DSP"
"78","BCW-200169","unassigned",2.38721804511278,"DSP"
"79","BCW-200294","unassigned",2.38277511961723,"DSP"
"80","BCW-200035","Enterobacter",2.38197424892704,"DSP"
"81","BCW-201071","Raoultella",2.38148984198646,"DSP"
"82","BCW-200016","Enterobacter",2.37974683544304,"DSP"
"83","BCW-200828","unassigned",2.37758112094395,"DSP"
