"","bcw_id","Genus","BNF","Group"
"1","BCW-200181","Kosakonia",4.6,"DSP"
"2","BCW-200199","unassigned",3.5,"DSP"
"3","BCW-200167","Klebsiella",2.7,"DSP"
"4","BCW-200169","Raoultella",2.7,"DSP"
"5","BCW-200444","Raoultella",1.5,"DSP"
"6","BCW-200727","Raoultella",1.4,"DSP"
"7","BCW-200926","Raoultella",1.4,"DSP"
"8","BCW-201879","Metakosakonia",1.4,"DSP"
"9","BCW-200488","Raoultella",1.3,"DSP"
"10","BCW-200661","Raoultella",1.3,"DSP"
"11","BCW-201858","Metakosakonia",1.3,"DSP"
"12","BCW-201873","Metakosakonia",1.3,"DSP"
"13","BCW-201876","Metakosakonia",1.3,"DSP"
"14","BCW-201887","Metakosakonia",1.3,"DSP"
"15","BCW-201888","Metakosakonia",1.3,"DSP"
"16","BCW-200496","Raoultella",1.2,"DSP"
"17","BCW-200517","Metakosakonia",1.2,"DSP"
"18","BCW-200600","Raoultella",1.2,"DSP"
"19","BCW-200620","Raoultella",1.2,"DSP"
"20","BCW-200662","Klebsiella",1.2,"DSP"
"21","BCW-200665","Raoultella",1.2,"DSP"
"22","BCW-200882","Raoultella",1.2,"DSP"
"23","BCW-200885","Raoultella",1.2,"DSP"
"24","BCW-200955","Metakosakonia",1.2,"DSP"
"25","BCW-201098","Raoultella",1.2,"DSP"
"26","BCW-201162","Rahnella",1.2,"DSP"
"27","BCW-201259","Rahnella",1.2,"DSP"
"28","BCW-201659","Enterobacter",1.2,"DSP"
"29","BCW-201808","Metakosakonia",1.2,"DSP"
"30","BCW-201850","Metakosakonia",1.2,"DSP"
"31","BCW-201886","Metakosakonia",1.2,"DSP"
"32","BCW-201900","Raoultella",1.2,"DSP"
"33","BCW-201901","Raoultella",1.2,"DSP"
"34","BCW-201926","Raoultella",1.2,"DSP"
"35","BCW-201990","Metakosakonia",1.2,"DSP"
"36","BCW-200102","Enterobacter",1.1,"DSP"
"37","BCW-200117","Raoultella",1.1,"DSP"
"38","BCW-200281","Raoultella",1.1,"DSP"
"39","BCW-200307","Metakosakonia",1.1,"DSP"
"40","BCW-200446","Raoultella",1.1,"DSP"
"41","BCW-200449","Raoultella",1.1,"DSP"
"42","BCW-200525","Raoultella",1.1,"DSP"
"43","BCW-200552","Rahnella",1.1,"DSP"
"44","BCW-200553","Raoultella",1.1,"DSP"
"45","BCW-200555","Raoultella",1.1,"DSP"
"46","BCW-200567","Metakosakonia",1.1,"DSP"
"47","BCW-200578","Rahnella",1.1,"DSP"
"48","BCW-200648","Raoultella",1.1,"DSP"
"49","BCW-200650","Rahnella",1.1,"DSP"
"50","BCW-200656","Metakosakonia",1.1,"DSP"
"51","BCW-200669","Enterobacter",1.1,"DSP"
"52","BCW-200776","Raoultella",1.1,"DSP"
"53","BCW-200797","Rahnella",1.1,"DSP"
"54","BCW-200800","Rahnella",1.1,"DSP"
"55","BCW-200801","Rahnella",1.1,"DSP"
"56","BCW-200821","Rahnella",1.1,"DSP"
"57","BCW-200828","Rahnella",1.1,"DSP"
"58","BCW-200847","Raoultella",1.1,"DSP"
"59","BCW-200855","Raoultella",1.1,"DSP"
"60","BCW-200880","Raoultella",1.1,"DSP"
"61","BCW-200881","Raoultella",1.1,"DSP"
"62","BCW-200886","Raoultella",1.1,"DSP"
"63","BCW-200951","Metakosakonia",1.1,"DSP"
"64","BCW-201019","Klebsiella",1.1,"DSP"
"65","BCW-201097","unassigned",1.1,"DSP"
"66","BCW-201184","Rahnella",1.1,"DSP"
"67","BCW-201263","Klebsiella",1.1,"DSP"
"68","BCW-201290","Pseudomonas",1.1,"DSP"
"69","BCW-201302","Rahnella",1.1,"DSP"
"70","BCW-201304","Rahnella",1.1,"DSP"
"71","BCW-201315","Rahnella",1.1,"DSP"
"72","BCW-201703","Raoultella",1.1,"DSP"
"73","BCW-201972","Metakosakonia",1.1,"DSP"
"74","BCW-200014","Enterobacter",1,"DSP"
"75","BCW-200016","Enterobacter",1,"DSP"
"76","BCW-200017","Enterobacter",1,"DSP"
"77","BCW-200028","unassigned",1,"DSP"
"78","BCW-200034","Enterobacter",1,"DSP"
"79","BCW-200035","Enterobacter",1,"DSP"
"80","BCW-200049","Klebsiella",1,"DSP"
"81","BCW-200050","Enterobacter",1,"DSP"
"82","BCW-200053","Klebsiella",1,"DSP"
"83","BCW-200069","Klebsiella",1,"DSP"
"84","BCW-200083","Klebsiella",1,"DSP"
"85","BCW-200084","Klebsiella",1,"DSP"
"86","BCW-200086","Klebsiella",1,"DSP"
"87","BCW-200093","Klebsiella",1,"DSP"
"88","BCW-200095","Enterobacter",1,"DSP"
"89","BCW-200096","Klebsiella",1,"DSP"
"90","BCW-200099","Klebsiella",1,"DSP"
"91","BCW-200109","Enterobacter",1,"DSP"
"92","BCW-200113","unassigned",1,"DSP"
"93","BCW-200129","Klebsiella",1,"DSP"
"94","BCW-200141","Kosakonia",1,"DSP"
"95","BCW-200156","unassigned",1,"DSP"
"96","BCW-200184","unassigned",1,"DSP"
"97","BCW-200201","unassigned",1,"DSP"
"98","BCW-200203","Raoultella",1,"DSP"
"99","BCW-200206","Enterobacter",1,"DSP"
"100","BCW-200216","Enterobacter",1,"DSP"
"101","BCW-200226","Kosakonia",1,"DSP"
"102","BCW-200227","Kosakonia",1,"DSP"
"103","BCW-200237","unassigned",1,"DSP"
"104","BCW-200276","Raoultella",1,"DSP"
"105","BCW-200294","Raoultella",1,"DSP"
"106","BCW-200308","Metakosakonia",1,"DSP"
"107","BCW-200317","Enterobacter",1,"DSP"
"108","BCW-200437","Raoultella",1,"DSP"
"109","BCW-200438","Raoultella",1,"DSP"
"110","BCW-200440","Raoultella",1,"DSP"
"111","BCW-200442","Raoultella",1,"DSP"
"112","BCW-200499","Raoultella",1,"DSP"
"113","BCW-200509","Metakosakonia",1,"DSP"
"114","BCW-200521","Raoultella",1,"DSP"
"115","BCW-200559","Rahnella",1,"DSP"
"116","BCW-200577","Raoultella",1,"DSP"
"117","BCW-200644","Rahnella",1,"DSP"
"118","BCW-200647","Rahnella",1,"DSP"
"119","BCW-200651","Klebsiella",1,"DSP"
"120","BCW-200660","Klebsiella",1,"DSP"
"121","BCW-200667","Enterobacter",1,"DSP"
"122","BCW-200704","Raoultella",1,"DSP"
"123","BCW-200738","Raoultella",1,"DSP"
"124","BCW-200785","Pseudomonas",1,"DSP"
"125","BCW-200798","Rahnella",1,"DSP"
"126","BCW-200818","Rahnella",1,"DSP"
"127","BCW-200820","Raoultella",1,"DSP"
"128","BCW-200874","Raoultella",1,"DSP"
"129","BCW-200879","Raoultella",1,"DSP"
"130","BCW-200887","Raoultella",1,"DSP"
"131","BCW-200891","Raoultella",1,"DSP"
"132","BCW-200892","Raoultella",1,"DSP"
"133","BCW-200909","Raoultella",1,"DSP"
"134","BCW-200915","Raoultella",1,"DSP"
"135","BCW-201020","Klebsiella",1,"DSP"
"136","BCW-201021","Klebsiella",1,"DSP"
"137","BCW-201044","Raoultella",1,"DSP"
"138","BCW-201058","Metakosakonia",1,"DSP"
