"","bcw_id","Genus","ACC","NIF_Group"
"1","BCW-200621","Pseudomonas",3.32281553398058,"SDS"
"2","BCW-200068","Pseudomonas",3.16565656565657,"SDS"
"3","BCW-200112","Acinetobacter",3.14424951267057,"SDS"
"4","BCW-200118","Acinetobacter",3.08174386920981,"SDS"
"5","BCW-200147","unassigned",3.05420054200542,"SDS"
"6","BCW-200008","Acinetobacter",2.88397790055249,"SDS"
"7","BCW-200105","Acinetobacter",2.86430678466077,"SDS"
"8","BCW-200154","Stenotrophomonas",2.86396181384248,"SDS"
"9","BCW-200443","Pseudomonas",2.66666666666667,"SDS"
"10","BCW-200001","Acidovorax",2.6448087431694,"SDS"
"11","BCW-201875","Pseudomonas",2.50563909774436,"SDS"
"12","BCW-200570","Stenotrophomonas",2.45098039215686,"SDS"
"13","BCW-200073","Pseudomonas",2.33887043189369,"SDS"
"14","BCW-200119","Acinetobacter",2.32768361581921,"SDS"
"15","BCW-200100","Acinetobacter",2.28089887640449,"SDS"
"16","BCW-200587","Stenotrophomonas",2.1968085106383,"SDS"
"17","BCW-200202","Stenotrophomonas",2.19281663516068,"SDS"
"18","BCW-200081","Acinetobacter",2.19101123595506,"SDS"
"19","BCW-201819","Curtobacterium",2.10714285714286,"SDS"
"20","BCW-200153","Stenotrophomonas",2.10714285714286,"SDS"
"21","BCW-200528","Pseudomonas",2.05804311774461,"SDS"
"22","BCW-200527","Pseudomonas",2.0456204379562,"SDS"
"23","BCW-200044","Acinetobacter",2.02,"SDS"
"24","BCW-200002","unassigned",1.94358974358974,"SDS"
"25","BCW-200436","Pseudomonas",1.89728682170543,"SDS"
"26","BCW-201851","Stenotrophomonas",1.89340101522843,"SDS"
"27","BCW-200266","Stenotrophomonas",1.8864774624374,"SDS"
"28","BCW-201859","Pseudomonas",1.87164179104478,"SDS"
"29","BCW-200477","Pseudomonas",1.78378378378378,"SDS"
"30","BCW-200790","Pseudomonas",1.7375415282392,"SDS"
"31","BCW-200103","Stenotrophomonas",1.67764705882353,"SDS"
"32","BCW-200498","unassigned",1.67117988394584,"SDS"
"33","BCW-200791","unassigned",1.63487738419619,"SDS"
"34","BCW-200056","Pseudomonas",1.60278745644599,"SDS"
"35","BCW-200646","Stenotrophomonas",1.59023354564756,"SDS"
"36","BCW-201868","Pseudomonas",1.51488095238095,"SDS"
"37","BCW-200101","Bacillus",1.5125284738041,"SDS"
"38","BCW-200588","Pseudomonas",1.5009746588694,"SDS"
"39","BCW-200497","Pseudomonas",1.5,"SDS"
"40","BCW-200589","Stenotrophomonas",1.49047619047619,"SDS"
"41","BCW-200173","unassigned",1.47400611620795,"SDS"
"42","BCW-200116","Acinetobacter",1.45232273838631,"SDS"
"43","BCW-200290","Pseudomonas",1.45139664804469,"SDS"
"44","BCW-200945","Stenotrophomonas",1.41494845360825,"SDS"
"45","BCW-200599","Pseudomonas",1.40392826643894,"SDS"
"46","BCW-200046","Pseudomonas",1.39518072289157,"SDS"
"47","BCW-200460","Pseudomonas",1.38289962825279,"SDS"
"48","BCW-200607","Pseudomonas",1.3804780876494,"SDS"
"49","BCW-200938","Stenotrophomonas",1.37553191489362,"SDS"
"50","BCW-200574","Stenotrophomonas",1.33794466403162,"SDS"
"51","BCW-201862","Pseudomonas",1.33652007648184,"SDS"
"52","BCW-200993","Herbaspirillum",1.33395176252319,"SDS"
"53","BCW-200032","Acinetobacter",1.26109660574413,"SDS"
"54","BCW-200065","Pseudomonas",1.25,"SDS"
"55","BCW-201293","Pseudomonas",1.18564356435644,"SDS"
"56","BCW-200011","Acidovorax",1.15146831530139,"SDS"
"57","BCW-200432","Pseudomonas",1.14888337468983,"SDS"
"58","BCW-200209","Leifsonia",1.14539007092199,"SDS"
"59","BCW-201292","Pseudomonas",1.13908872901679,"SDS"
"60","BCW-200939","Stenotrophomonas",1.12820512820513,"SDS"
"61","BCW-201947","Pseudomonas",1.1280701754386,"SDS"
"62","BCW-200267","Pseudomonas",1.05081300813008,"SDS"
"63","BCW-200078","Micrococcus",0.994071146245059,"SDS"
"64","BCW-200458","Pseudomonas",0.970654627539503,"SDS"
"65","BCW-200944","unassigned",0.91156462585034,"SDS"
"66","BCW-200476","Pseudomonas",NA,"SDS"
