bcw_id,Genus,Group,ACC,BNF,IAA,PO4
BCW-200097,Acinetobacter,DSN,1.22,1,0.8,415.13
BCW-200663,Agrobacterium,DSN,1.12,1,3.59,1182.06
BCW-200902,Agrobacterium,DSN,1.26,1.5,11.55,998.98
BCW-200910,Agrobacterium,DSN,1.84,1,8.35,911.05
BCW-200465,Agrobacterium,DSN,2.54,1,20.36,911.05
BCW-200920,Agrobacterium,DSN,2.19,1.1,10.05,777.1
BCW-200904,Agrobacterium,DSN,1.9,1.2,15.5,760.74
BCW-200328,Agrobacterium,DSN,2.51,1.5,19.82,721.88
BCW-200464,Agrobacterium,DSN,1.91,1,24.45,413.41
BCW-200208,Agrobacterium,DSN,1.67,1.2,12.73,320.24
BCW-200705,Agrobacterium,DSN,1.13,1.2,1.86,238.06
BCW-200215,Agrobacterium,DSN,0.97,1,14.5,136.8
BCW-201445,Atlantibacter,DSN,1.11,1,19.08,879.35
BCW-201444,Atlantibacter,DSN,2.1,1,17,835.38
BCW-200066,Atlantibacter,DSN,1.04,1,37.63,822.09
BCW-200986,Citrobacter,DSN,1.89,1.1,8.83,1503.07
BCW-201083,Citrobacter,DSN,1.22,1.3,6.08,1194.27
BCW-200111,Citrobacter,DSN,1.39,1.2,48.41,1171.92
BCW-200031,Citrobacter,DSN,1.03,1,-0.11,1062.37
BCW-200539,Citrobacter,DSN,1.22,1.2,3.82,1049.08
BCW-201154,Citrobacter,DSN,2.22,1,3.23,1020.45
BCW-201152,Citrobacter,DSN,1.42,1.3,1.86,926.38
BCW-200984,Citrobacter,DSN,1.76,1,13.49,898.77
BCW-200036,Citrobacter,DSN,2.59,1,3.31,882.41
BCW-200983,Citrobacter,DSN,2.24,1.1,2.26,790.39
BCW-201842,Curtobacterium,DSN,1.43,1,29.69,511.61
BCW-201896,Curtobacterium,DSN,2.45,1.1,0.74,151.51
BCW-200219,Enterobacter,DSN,1.18,0.9,7.71,1339.9
BCW-200104,Enterobacter,DSN,1.17,No Data,7.09,1173.23
BCW-201849,Enterobacter,DSN,1.87,1.3,5.93,1151.33
